header	seqid	accession	identity	evalue	sciname	taxids	taxonomy
>ERR2697834.89 10317.000097233_88 length=151 number of reps 133	ERR2697834.89				uncultured bacterium		
>ERR2319745.329 10317.000050475_328 length=151 number of reps 133	ERR2319745.329				uncultured bacterium		
>ERR1316052.144 10317.000039806_143 length=150 number of reps 133	ERR1316052.144				uncultured bacterium		
>ERR1160658.863 10317.000032795_862 length=126 number of reps 133	ERR1160658.863				uncultured bacterium		
>ERR2319745.30501 10317.000050475_30500 length=151 number of reps 132	ERR2319745.30501				uncultured bacterium		
>ERR1458766.44 10317.000028806_43 length=150 number of reps 132	ERR1458766.44				uncultured bacterium		
>ERR1458766.1088 10317.000028806_1087 length=150 number of reps 132	ERR1458766.1088				uncultured bacterium		
>ERR2696499.1131 10317.000076358_1130 length=151 number of reps 131	ERR2696499.1131				uncultured bacterium		
>ERR2405131.877 10317.000082870_876 length=151 number of reps 131	ERR2405131.877				uncultured bacterium		
>ERR1845804.511 10317.000023590_510 length=150 number of reps 131	ERR1845804.511				uncultured bacterium		
>ERR1843602.107 10317.000040396_106 length=150 number of reps 131	ERR1843602.107				uncultured bacterium		
>ERR1845804.102 10317.000023590_101 length=150 number of reps 130	ERR1845804.102				uncultured bacterium		
>ERR1160658.438 10317.000032795_437 length=126 number of reps 130	ERR1160658.438				uncultured bacterium		
>ERR2405131.660 10317.000082870_659 length=151 number of reps 129	ERR2405131.660				uncultured bacterium		
>ERR1843602.1 10317.000040396_0 length=150 number of reps 129	ERR1843602.1				uncultured bacterium		
>ERR2319745.67 10317.000050475_66 length=151 number of reps 128	ERR2319745.67				uncultured bacterium		
>ERR2319745.366 10317.000050475_365 length=151 number of reps 128	ERR2319745.366				uncultured bacterium		
>ERR2319745.3534 10317.000050475_3533 length=151 number of reps 128	ERR2319745.3534				uncultured bacterium		
>ERR1841615.75 10317.000040396_74 length=150 number of reps 128	ERR1841615.75				uncultured bacterium		
>ERR1160658.2154 10317.000032795_2153 length=126 number of reps 127	ERR1160658.2154				uncultured bacterium		
>ERR1080303.3722 10317.000021280_3721 length=151 number of reps 127	ERR1080303.3722				uncultured bacterium		
>ERR1079964.1014 10317.000013105_1013 length=151 number of reps 126	ERR1079964.1014				uncultured bacterium		
>ERR1842255.360 10317.000044555_359 length=150 number of reps 124	ERR1842255.360				uncultured bacterium		
>ERR1160658.14 10317.000032795_13 length=126 number of reps 124	ERR1160658.14				uncultured bacterium		
>ERR1079964.984 10317.000013105_983 length=151 number of reps 124	ERR1079964.984				uncultured bacterium		
>ERR4019696.24 10317.000101088_23 length=151 number of reps 123	ERR4019696.24				uncultured bacterium		
>ERR2696499.44 10317.000076358_43 length=151 number of reps 122	ERR2696499.44				uncultured bacterium		
>ERR1458766.84 10317.000028806_83 length=150 number of reps 122	ERR1458766.84				uncultured bacterium		
>ERR1079964.130 10317.000013105_129 length=151 number of reps 122	ERR1079964.130				uncultured bacterium		
>ERR2697834.241 10317.000097233_240 length=151 number of reps 121	ERR2697834.241				uncultured bacterium		
>ERR2696499.39 10317.000076358_38 length=151 number of reps 121	ERR2696499.39				uncultured bacterium		
>ERR1160658.731 10317.000032795_730 length=126 number of reps 121	ERR1160658.731				uncultured bacterium		
>ERR1079964.234 10317.000013105_233 length=151 number of reps 121	ERR1079964.234				uncultured bacterium		
>ERR1079964.151 10317.000013105_150 length=151 number of reps 121	ERR1079964.151				uncultured bacterium		
>ERR4019696.85 10317.000101088_84 length=151 number of reps 120	ERR4019696.85				uncultured bacterium		
>ERR1843602.188 10317.000040396_187 length=150 number of reps 120	ERR1843602.188				uncultured bacterium		
>ERR2405131.659 10317.000082870_658 length=151 number of reps 119	ERR2405131.659	KY285519.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.17939 10317.000028806_17938 length=150 number of reps 119	ERR1458766.17939	CP051672.1	100.0	6.369999999999999e-71	Parabacteroides distasonis	823	Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis
>ERR1160658.2772 10317.000032795_2771 length=126 number of reps 119	ERR1160658.2772	MT516170.1	99.206	5.17e-56	Escherichia fergusonii	564	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii
>ERR1160658.3129 10317.000032795_3128 length=126 number of reps 118	ERR1160658.3129	MN252008.1	100.0	1.1100000000000001e-57	Serratia marcescens	615	Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia marcescens
>ERR1160658.767 10317.000032795_766 length=126 number of reps 117	ERR1160658.767	KP808093.1	100.0	1.1100000000000001e-57	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.2141 10317.000032795_2140 length=126 number of reps 117	ERR1160658.2141	LC359100.1	100.0	1.1100000000000001e-57	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1841615.173 10317.000040396_172 length=150 number of reps 116	ERR1841615.173	MN212492.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.4369 10317.000013105_4368 length=151 number of reps 116	ERR1079964.4369	MN474469.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696499.169 10317.000076358_168 length=151 number of reps 114	ERR2696499.169	CP053042.1	99.338	8.309999999999998e-70	Proteus cibarius	626774	Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus cibarius
>ERR1841615.96 10317.000040396_95 length=150 number of reps 114	ERR1841615.96	KF843318.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.635 10317.000013105_634 length=151 number of reps 114	ERR1079964.635	LR651281.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019696.1254 10317.000101088_1253 length=151 number of reps 113	ERR4019696.1254	CP051672.1	99.338	8.309999999999998e-70	Parabacteroides distasonis	823	Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis
>ERR2319745.13267 10317.000050475_13266 length=151 number of reps 113	ERR2319745.13267	MH227048.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1843602.1031 10317.000040396_1030 length=150 number of reps 112	ERR1843602.1031	KT926888.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.418 10317.000032795_417 length=126 number of reps 112	ERR1160658.418	MT125906.1	100.0	1.1100000000000001e-57	Klebsiella pneumoniae	573	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae
>ERR1079964.593 10317.000013105_592 length=151 number of reps 112	ERR1079964.593	FJ345906.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019696.303 10317.000101088_302 length=151 number of reps 111	ERR4019696.303	MT268985.1	98.675	3.87e-68	Bacteroides fragilis	817	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis
>ERR2405131.95 10317.000082870_94 length=151 number of reps 111	ERR2405131.95	FJ369890.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1845804.7961 10317.000023590_7960 length=150 number of reps 111	ERR1845804.7961	MF364754.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842255.32 10317.000044555_31 length=150 number of reps 111	ERR1842255.32	KU112262.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.554 10317.000028806_553 length=150 number of reps 111	ERR1458766.554	MH572109.1	100.0	6.369999999999999e-71	uncultured Lachnospiraceae bacterium	297314	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NaN;uncultured Lachnospiraceae bacterium
>ERR2405131.21 10317.000082870_20 length=151 number of reps 110	ERR2405131.21	MN211895.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.33185 10317.000050475_33184 length=151 number of reps 110	ERR2319745.33185	MN212164.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.2557 10317.000050475_2556 length=151 number of reps 110	ERR2319745.2557	FP078221.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.1578 10317.000050475_1577 length=151 number of reps 109	ERR2319745.1578	LC528171.1	100.0	6.429999999999998e-71	Akkermansia muciniphila	239935	Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila
>ERR2314040.56 10317.000054273_55 length=151 number of reps 109	ERR2314040.56	KR952335.1	100.0	1.7899999999999994e-71	Penicillium roqueforti	5082	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium roqueforti
>ERR1845804.4857 10317.000023590_4856 length=150 number of reps 109	ERR1845804.4857	MH462403.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.1749 10317.000013105_1748 length=151 number of reps 109	ERR1079964.1749	MH291865.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.531 10317.000032795_530 length=126 number of reps 108	ERR1160658.531	KX971281.1	100.0	1.1100000000000001e-57	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.344 10317.000032795_343 length=126 number of reps 108	ERR1160658.344	MT445109.1	100.0	1.1100000000000001e-57	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.4084 10317.000050475_4083 length=151 number of reps 107	ERR2319745.4084	MN474179.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.1113 10317.000050475_1112 length=151 number of reps 107	ERR2319745.1113	KY878431.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.7 10317.000013105_6 length=151 number of reps 107	ERR1079964.7	CP048437.1	100.0	6.429999999999998e-71	Faecalibacterium prausnitzii A2-165	411483	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
>ERR2319745.9193 10317.000050475_9192 length=151 number of reps 106	ERR2319745.9193	KC303773.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.19798 10317.000028806_19797 length=150 number of reps 106	ERR1458766.19798	KY049721.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.675 10317.000032795_674 length=126 number of reps 106	ERR1160658.675	MT516160.1	99.206	5.17e-56	Enterococcus faecium	1352	Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium
>ERR1079964.4968 10317.000013105_4967 length=151 number of reps 106	ERR1079964.4968	KY048547.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.7837 10317.000050475_7836 length=151 number of reps 105	ERR2319745.7837	FP078832.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1845804.3073 10317.000023590_3072 length=150 number of reps 105	ERR1845804.3073	MT275475.1	100.0	6.369999999999999e-71	Erysipelatoclostridium ramosum	1547	Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;Erysipelatoclostridium ramosum
>ERR1160658.376 10317.000032795_375 length=126 number of reps 105	ERR1160658.376	KY301664.1	99.206	5.17e-56	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842255.11526 10317.000044555_11525 length=150 number of reps 104	ERR1842255.11526	JQ940872.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.2821 10317.000013105_2820 length=151 number of reps 104	ERR1079964.2821	JN612120.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.31363 10317.000050475_31362 length=150 number of reps 103	ERR2319745.31363	MT509819.1	100.0	6.369999999999999e-71	Dialister invisus	218538	Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister invisus
>ERR1842835.339 10317.000053460_338 length=150 number of reps 103	ERR1842835.339	MK274834.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.1914 10317.000028806_1913 length=150 number of reps 103	ERR1458766.1914	MH228452.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.819 10317.000028806_818 length=150 number of reps 102	ERR1458766.819	LR647866.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.3609 10317.000028806_3608 length=150 number of reps 102	ERR1458766.3609	MH291839.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1080303.4286 10317.000021280_4285 length=151 number of reps 102	ERR1080303.4286	CP050831.1	99.338	8.309999999999998e-70	Bacteroides sp. CBA7301	2715212	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1080303.232 10317.000021280_231 length=151 number of reps 102	ERR1080303.232	HQ816221.1	100.0	1.7899999999999994e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
>ERR2696499.590 10317.000076358_589 length=151 number of reps 101	ERR2696499.590	CP053042.1	99.338	8.309999999999998e-70	Proteus cibarius	626774	Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus cibarius
>ERR2319745.9209 10317.000050475_9208 length=151 number of reps 101	ERR2319745.9209	KU152706.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2405131.2216 10317.000082870_2215 length=151 number of reps 100	ERR2405131.2216	HQ814424.1	98.01299999999999	1.7999999999999995e-66	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
>ERR1845804.635 10317.000023590_634 length=150 number of reps 100	ERR1845804.635	HQ766939.1	100.0	6.369999999999999e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
>ERR1842255.2111 10317.000044555_2110 length=150 number of reps 100	ERR1842255.2111	KT924959.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.970 10317.000032795_969 length=126 number of reps 100	ERR1160658.970	MK727100.1	100.0	1.1100000000000001e-57	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
